,GeneID,PathwayID,Symbol
25179,7531,path:hsa05160,YWHAE
25180,7532,path:hsa05160,YWHAG
25181,7533,path:hsa05160,YWHAH
25182,7534,path:hsa05160,YWHAZ
25183,836,path:hsa05160,CASP3
25184,841,path:hsa05160,CASP8
25185,842,path:hsa05160,CASP9
25186,8503,path:hsa05160,PIK3R3
25187,8517,path:hsa05160,IKBKG
25188,8554,path:hsa05160,PIAS1
25189,8717,path:hsa05160,TRADD
25190,8737,path:hsa05160,RIPK1
25191,8772,path:hsa05160,FADD
25192,8837,path:hsa05160,CFLAR
25193,9021,path:hsa05160,SOCS3
25194,9071,path:hsa05160,CLDN10
25195,9073,path:hsa05160,CLDN8
25196,9074,path:hsa05160,CLDN6
25197,9075,path:hsa05160,CLDN2
25198,9076,path:hsa05160,CLDN1
25199,9080,path:hsa05160,CLDN9
25200,91543,path:hsa05160,RSAD2
25201,9451,path:hsa05160,EIF2AK3
25202,949,path:hsa05160,SCARB1
25203,9641,path:hsa05160,IKBKE
25204,975,path:hsa05160,CD81
